Model,MAE,RMSE,R2,Within 10 percentage points
Current-occupancy baseline,0.07507648319005966,0.11921769135431344,0.8156460523605347,0.7330484859743638
Linear regression,0.08536724286186786,0.11946515208750268,0.8148799555115155,0.7084339587590562
Histogram gradient boosting,0.07339359384727356,0.10929272147677006,0.8450636052344437,0.7493033624373027
CatBoost categorical model,0.07655808349816574,0.11109897353551298,0.8399001009052883,0.733791566041241
