Model,MAE,RMSE,R2,Accuracy,Precision,Recall
Histogram gradient boosting,0.07339359384727356,0.10929272147677006,0.8450636052344437,0.8894668400520156,0.8907653611210924,0.8949458483754512
CatBoost categorical model,0.07655808349816574,0.11109897353551298,0.8399001009052883,0.888816644993498,0.8917553671297132,0.8922382671480145
Linear regression,0.08536724286186786,0.11946515208750268,0.8148799555115155,0.881107189299647,0.8821313240043057,0.8875451263537906
