Event ID,Event Name,Event Description,Event Class,Event Information Source,Reference URL,Effective From Date,Effective To Date,From Time,To Time
540,Chinese New Year 2012,Parade,StrClose,,,2/11/2012,2/11/2012,,
544,Chinese New Year Community Street Fair 2012,Street Fair,StrClose,,,,2/12/2012,,
664,Vietnamese Tet Festival,Street Fair,StrClose,,,1/15/2012,1/15/2012,,
536,Chinese Flower Market Fair 2012,Street Fair,StrClose,,,1/14/2012,1/15/2012,,
335,2012 New Year,Party,PkDemandUp,,,12/31/2011,1/1/2012,,
674,Christmas,Holiday,TrnstSrvDn,,,12/25/2011,12/25/2011,,
687,SFpark app launch Android,SFpark app for Android launched,,,http://sfpark.org/2011/11/10/sfmta-releases-sfpark-android-app/,11/7/2011,,,
636,Sunday Streets - Mission,Sunday Streets,StrClose,,,10/23/2011,10/23/2011,,
587,Nike Women's Marathon 2011,Race,StrClose,,,10/16/2011,10/16/2011,,
354,Fleet Week,Large Event,PkDemandUp,,,10/8/2011,10/9/2011,,
494,Oracle Open World,Large Conference,PkDemandUp,,,10/1/2011,10/6/2011,,
451,Hardly Strictly Bluegrass,Major Concert,PkDemandUp,,,9/30/2011,10/2/2011,,
688,SFpark text service,Text message for SFpark launched,,Internet,http://sfpark.org/2011/09/15/the-sfmta-debuts-sfpark-garage-availability-texting-service/,9/15/2011,,,
645,Sunday Streets - Western Addition,Sunday Streets,StrClose,,,9/11/2011,9/11/2011,,
524,Chinatown Moon Festival 2011,Street Fair,StrClose,,,9/10/2011,9/10/2011,,
671,BART Protest,Other,TrnstSrvDn,,,8/26/2011,8/26/2011,,
560,Folsom Street Fair,Street Fair,StrClose,,,8/23/2011,8/23/2011,,
620,Sunday Streets - Civic Center/TL,Sunday Streets,StrClose,,,8/14/2011,8/14/2011,,
499,Outsidelands,Major Concert,PkDemandUp,,,8/12/2011,8/14/2011,,
670,BART Protest,Other,TrnstSrvDn,,,8/11/2011,8/11/2011,,
604,San Francisco Marathon,Race,StrClose,,,7/31/2011,7/31/2011,,
629,Sunday Streets - Great Highway,Sunday Streets,StrClose,,,7/10/2011,7/10/2011,,
338,4th of July,Party,PkDemandUp,,,7/4/2011,7/4/2011,,
554,Fillmore Jazz Festival,Street Fair,StrClose,,,7/3/2011,7/3/2011,,
594,Pink Saturday/Dyke March 2011,Parade,StrClose,,,6/25/2011,6/25/2011,,
599,Pride Weekend,Street Fair,StrClose,,,,6/26/2011,,
577,Juneteenth 2011,Street Fair,StrClose,,,6/18/2011,6/19/2011,,
591,North Beach Festival,Street Fair,StrClose,,,,6/19/2011,,
566,Haight Ashbury Street Fair,Street Fair,StrClose,,,6/12/2011,6/12/2011,,
616,Sunday Streets - Bayview,Sunday Streets,StrClose,,,,6/12/2011,,
655,Union Street Fair,Street Fair,StrClose,,,6/4/2011,6/5/2011,,
328,Bay Bridge Closures,Construction,Construct,,,5/28/2011,5/29/2011,,
602,San Francisco Carnaval,Street Fair,StrClose,,,5/21/2011,5/22/2011,,
509,Bay to Breakers 2011,Race,StrClose,,,5/15/2011,5/15/2011,,
668,Bike to Work Day 2011,Other,TrnsprtEvt,,,5/12/2011,5/12/2011,,
635,Sunday Streets - Mission,Sunday Streets,StrClose,,,5/8/2011,5/8/2011,,
571,How Weird Festival 2011,Street Fair,StrClose,,,5/1/2011,5/1/2011,,
686,SFpark app launch,iPhone and web map app launch,,Internet,http://sfpark.org/2011/04/21/mayor-lee-launches-sfpark-project/,4/24/2011,,,
519,Cherry Blossom Festival 2011,Street Fair,StrClose,,,4/17/2011,4/17/2011,,
628,Sunday Streets - Great Highway,Sunday Streets,StrClose,,,4/10/2011,4/10/2011,,
622,Sunday Streets - Embarcadero,Sunday Streets,StrClose,,,3/20/2011,3/20/2011,,
610,St Patrick's Day Parade 2011,Parade,StrClose,,,3/12/2011,3/12/2011,,
539,Chinese New Year 2011,Parade,StrClose,,,2/19/2011,2/19/2011,,
543,Chinese New Year Community Street Fair 2011,Street Fair,StrClose,,,,2/20/2011,,
327,Bay Bridge Closures,Construction,Construct,,,2/18/2011,2/20/2011,,
528,Chinatown YMCA 10K/5K/Walk 2011,Race,StrClose,,,2/13/2011,2/13/2011,,
663,Vietnamese Tet Festival,Street Fair,StrClose,,,1/30/2011,1/30/2011,,
535,Chinese Flower Market Fair 2011,Street Fair,StrClose,,,1/29/2011,1/30/2011,,
334,2011 New Year,Party,PkDemandUp,,,12/31/2010,1/1/2011,,
673,Christmas,Holiday,TrnstSrvDn,,,12/25/2010,12/25/2010,,
586,Nike Women's Marathon 2010,Race,StrClose,,,11/4/2010,11/4/2010,,
665,World Series Parade and street party,Parade and street party,StrClose,,,11/3/2010,11/3/2010,,
448,Giants Home Game,Baseball game,PkDemandUp,,,10/28/2010,10/28/2010,,
447,Giants Home Game,Baseball game,PkDemandUp,,,10/27/2010,10/27/2010,,
446,Giants Home Game,Baseball game,PkDemandUp,,,10/21/2010,10/21/2010,,
445,Giants Home Game,Baseball game,PkDemandUp,,,10/20/2010,10/20/2010,,
444,Giants Home Game,Baseball game,PkDemandUp,,,10/19/2010,10/19/2010,,
353,Fleet Week,Large Event,PkDemandUp,,,10/9/2010,10/10/2010,,
443,Giants Home Game,Baseball game,PkDemandUp,,,10/8/2010,10/8/2010,,
442,Giants Home Game,Baseball game,PkDemandUp,,,10/7/2010,10/7/2010,,
450,Hardly Strictly Bluegrass,Major Concert,PkDemandUp,,,10/1/2010,10/3/2010,,
559,Folsom Street Fair,Street Fair,StrClose,,,9/26/2010,9/26/2010,,
493,Oracle Open World,Large Conference,PkDemandUp,,,9/19/2010,9/23/2010,,
644,Sunday Streets - Western Addition,Sunday Streets,StrClose,,,,9/19/2010,,
523,Chinatown Moon Festival 2010,Street Fair,StrClose,,,9/17/2010,9/17/2010,,
619,Sunday Streets - Civic Center/TL,Sunday Streets,StrClose,,,8/24/2010,8/24/2010,,
627,Sunday Streets - Great Highway,Sunday Streets,StrClose,,,8/22/2010,8/22/2010,,
498,Outsidelands,Major Concert,PkDemandUp,,,8/14/2010,8/15/2010,,
634,Sunday Streets - Mission,Sunday Streets,StrClose,,,7/11/2010,7/11/2010,,
337,4th of July,Party,PkDemandUp,,,7/4/2010,7/4/2010,,
553,Fillmore Jazz Festival,Street Fair,StrClose,,,7/3/2010,7/4/2010,,
593,Pink Saturday/Dyke March 2010,Parade,StrClose,,,6/26/2010,6/26/2010,,
598,Pride Weekend,Street Fair,StrClose,,,,6/27/2010,,
633,Sunday Streets - Mission,Sunday Streets,StrClose,,,6/20/2010,6/20/2010,,
576,Juneteenth 2010,Street Fair,StrClose,,,6/19/2010,6/20/2012,,
590,North Beach Festival,Street Fair,StrClose,,,,6/20/2010,,
565,Haight Ashbury Street Fair,Street Fair,StrClose,,,6/13/2010,6/13/2010,,
654,Union Street Fair,Street Fair,StrClose,,,6/5/2010,6/6/2010,,
601,San Francisco Carnaval,Street Fair,StrClose,,,5/29/2010,5/30/2010,,
615,Sunday Streets - Bayview,Sunday Streets,StrClose,,,5/23/2010,5/23/2010,,
508,Bay to Breakers 2010,Race,StrClose,,,5/16/2010,5/16/2010,,
667,Bike to Work Day 2010,Other,TrnsprtEvt,,,5/13/2010,5/13/2010,,
570,How Weird Festival 2010,Street Fair,StrClose,,,5/9/2010,5/9/2010,,
614,Sunday Streets - Bayview,Sunday Streets,StrClose,,,4/18/2010,4/18/2010,,
626,Sunday Streets - Great Highway,Sunday Streets,StrClose,,,4/11/2010,4/11/2010,,
518,Cherry Blossom Festival 2010,Street Fair,StrClose,,,4/10/2010,4/11/2010,,
621,Sunday Streets - Embarcadero,Sunday Streets,StrClose,,,3/14/2010,3/14/2010,,
609,St Patrick's Day Parade 2010,Parade,StrClose,,,3/13/2010,3/13/2010,,
527,Chinatown YMCA 10K/5K/Walk 2010,Race,StrClose,,,2/20/2010,2/20/2010,,
662,Vietnamese Tet Festival,Street Fair,StrClose,,,2/7/2010,2/7/2010,,
534,Chinese Flower Market Fair 2010,Street Fair,StrClose,,,2/6/2010,2/7/2010,,
538,Chinese New Year 2010,Parade,StrClose,,,,2/6/2010,,
542,Chinese New Year Community Street Fair 2010,Street Fair,StrClose,,,,2/7/2010,,
333,2010 New Year,Party,PkDemandUp,,,12/31/2009,1/1/2010,,
672,Christmas,Holiday,TrnstSrvDn,,,12/25/2009,12/25/2009,,
585,Nike Women's Marathon 2009,Race,StrClose,,,10/18/2009,10/18/2009,,
492,Oracle Open World,Large Conference,PkDemandUp,,,10/11/2009,10/15/2009,,
352,Fleet Week,Large Event,PkDemandUp,,,10/10/2009,10/11/2009,,
449,Hardly Strictly Bluegrass,Major Concert,PkDemandUp,,,10/2/2009,10/4/2009,,
558,Folsom Street Fair,Street Fair,StrClose,,,9/27/2009,9/27/2009,,
